county,year,crmrte,prbarr,prbconv,prbpris,polpc,density,wtrd,wser,wmfg
45,86,0.0312755,0.278193,0.302013,0.56,0.0011912,1.839744,239.8632,285.0656,340.31
45,87,0.0362807,0.202627,0.450567,0.47482,0.0012153,1.844017,248.7759,293.1148,367.42
47,81,0.0319193,0.302526,0.368635,0.458564,0.0019077,0.5501066,165.2859,178.3689,279.08
47,82,0.0305205,0.336927,0.538,0.371747,0.0018921,0.5479744,171.1498,196.4188,300.65
47,83,0.0291268,0.210342,0.647841,0.328205,0.0019336,0.5501066,182.1096,204.9538,322.06
47,84,0.0296451,0.178862,0.579545,0.385621,0.0019081,0.5533049,172.8098,210.4962,338.1
47,85,0.0293452,0.235624,0.625,0.385714,0.0020167,0.5554371,174.3941,206.7213,355.71
47,86,0.031931,0.188847,0.691275,0.34466,0.0019223,0.5575693,185.1121,223.946,367.42
47,87,0.0313623,0.182927,0.763333,0.270742,0.0012813,0.5639659,194.6777,256.4102,355.83
49,81,0.0359381,0.270776,0.309798,0.432558,0.0011919,1.024251,173.2183,231.32,244.39
49,82,0.0361096,0.310412,0.340426,0.408088,0.0013467,1.048502,178.8462,254.3512,264.05
49,83,0.0359286,0.272624,0.315278,0.418502,0.0014829,1.064194,180.354,276.2078,273.17
49,84,0.0319024,0.326141,0.361323,0.40493,0.0015091,1.095578,189.2236,286.964,277.15
49,85,0.030183,0.322888,0.398031,0.392226,0.0015352,1.132668,194.6482,296.5243,308.93
49,86,0.0320147,0.253112,0.462295,0.375887,0.0014745,1.14408,203.7298,290.9879,344.29
49,87,0.0374979,0.26442,0.371879,0.35689,0.0014853,1.14408,212.4851,304.3066,375.32
51,81,0.0630904,0.201316,0.262496,0.481437,0.0014254,3.7793,171.8197,197.2247,301.96
51,82,0.0628671,0.223799,0.257295,0.417666,0.0014883,3.7793,177.5444,212.5034,329.1
51,83,0.060056,0.214351,0.27041,0.417508,0.0014377,3.817352,187.6015,225.5461,362.25
51,84,0.0591762,0.1901,0.322122,0.449946,0.0014549,3.866058,191.9191,236.013,391.47
51,85,0.0712392,0.171519,0.308015,0.413636,0.0016594,3.888889,198.3625,241.9481,398.06
51,86,0.0704214,0.166131,0.275701,0.424939,0.0014956,3.913242,210.371,250.1447,414.08
51,87,0.0883849,0.155248,0.259833,0.407628,0.001908,3.934551,213.7524,257.3344,441.72
53,81,0.0196669,0.252252,1.21429,0.176471,0.0008859,0.4414063,162.9726,160.2564,148.79
53,82,0.0199702,0.184211,0.690476,0.241379,0.0009635,0.4570313,174.8252,203.4024,101.83
53,83,0.0222781,0.217899,0.642857,0.194444,0.0008669,0.4882813,166.9899,183.1502,129.11
53,84,0.0138866,0.228916,0.921053,0.371429,0.0009202,0.5039063,190.5752,186.1042,178.1
53,85,0.0170847,0.159091,1.05714,0.378378,0.0008542,0.5039063,187.2367,226.2443,184.33
53,86,0.0138049,0.337079,0.5,0.333333,0.0009307,0.5234375,200.3205,203.6199,271.81
53,87,0.0140655,0.303191,0.140351,0.25,0.0011222,0.5351563,219.7802,223.8502,250.42
55,81,0.0397498,0.143426,0.944444,0.367647,0.0032465,0.3606138,139.9271,145.2081,206.69
55,82,0.0467392,0.164154,0.561224,0.454545,0.0032882,0.3759591,140.314,150.1556,219.27
55,83,0.0530843,0.134307,0.543478,0.34,0.0033323,0.3913043,142.8617,154.6632,229.12
55,84,0.0504352,0.180501,0.335766,0.26087,0.0029902,0.4143223,153.6227,166.4336,252.83
55,85,0.0635231,0.202885,0.241706,0.490196,0.0036037,0.4424552,152.1637,181.6435,265.83
55,86,0.074755,0.257564,0.253012,0.25,0.0040596,0.4782609,161.9095,202.2074,281.26
55,87,0.0790163,0.224628,0.207831,0.304348,0.0040096,0.5115089,189.7436,221.3903,319.21
57,81,0.0368013,0.205165,0.533487,0.41342,0.0013775,2.087591,179.6187,204.6954,234.72
57,82,0.0312481,0.281931,0.52544,0.376164,0.0013448,2.104015,185.3762,212.6351,237.27
57,83,0.0290823,0.275154,0.47548,0.376682,0.0013052,2.114964,195.3562,222.3967,265.68
57,84,0.0258322,0.29059,0.489168,0.30303,0.0013524,2.144161,207.7907,228.9377,282.14
57,85,0.0259898,0.303672,0.48366,0.326577,0.0013412,2.164234,215.645,232.1913,294.36
57,86,0.027782,0.291425,0.522513,0.330661,0.0013819,2.20073,224.7244,242.8388,314.38
57,87,0.0300216,0.222002,0.736909,0.320624,0.0013619,2.251825,225.5296,261.3512,324.67
59,81,0.0183936,0.257642,0.601695,0.56338,0.0010442,0.9513109,196.5027,195.178,242.48
59,82,0.016081,0.209877,0.729412,0.387097,0.0009927,0.9700375,203.5123,207.6049,239.17
59,83,0.0159541,0.23399,0.789474,0.333333,0.001061,0.9925094,203.3026,219.0171,253.61
59,84,0.0160226,0.301176,0.554688,0.323944,0.0010933,1.007491,214.78,250.8361,275.94
59,85,0.015924,0.231651,1.22772,0.241935,0.0008765,1.037453,214.2559,264.038,292.93
59,86,0.0193287,0.796262,0.13615,0.431034,0.0010477,1.011236,212.181,283.6053,300.93
59,87,0.0233327,0.227753,0.622517,0.425532,0.0011965,1.026217,210.3365,316.6645,316.57
61,81,0.0248057,0.1917,0.912371,0.39548,0.0012501,0.4981685,165.4156,176.2305,189.68
61,82,0.0225081,0.279781,0.628906,0.447205,0.0013284,0.5006105,179.4236,188.537,196.84
61,83,0.0177485,0.411523,0.546667,0.481707,0.0015338,0.5018315,187.7088,183.9184,215.3
61,84,0.0169917,0.396527,0.547445,0.4,0.001377,0.5079365,192.7581,183.7536,224.45
61,85,0.0179394,0.495924,0.454795,0.391566,0.0013649,0.5079365,202.9866,186.846,240.67
61,86,0.0215632,0.343537,0.640264,0.350515,0.0014913,0.5091575,213.4839,194.7082,251.95
61,87,0.0233677,0.398119,0.493438,0.361702,0.0014162,0.5079365,214.2203,203.8864,266.58
63,81,0.0813022,0.157454,0.270823,0.388679,0.0022306,5.177852,184.6374,267.1611,407.45
63,82,0.0785857,0.155625,0.313591,0.394604,0.0024576,5.214765,195.15,294.2581,449.77
63,83,0.0760822,0.140742,0.349671,0.417094,0.0025922,5.2651,207.2916,313.011,487.81
63,84,0.073959,0.12898,0.405121,0.465154,0.0027058,5.345638,2242.747,329.8855,526.28
63,85,0.0703023,0.142794,0.519003,0.40096,0.0023205,5.426175,235.2634,348.4926,551.96
63,86,0.0690603,0.113018,0.509539,0.424337,0.0023762,5.563758,233.9773,367.5402,593.47
63,87,0.0706599,0.133225,0.459216,0.363636,0.0023761,5.674497,238.9154,391.3081,646.85
65,81,0.054168,0.130332,0.524675,0.480198,0.0010269,1.118577,170.8154,162.6926,250.33
65,82,0.0524684,0.158604,0.566449,0.538462,0.0010153,1.126482,179.6997,167.9902,251.07
65,83,0.0458803,0.15526,0.397985,0.462025,0.0009869,1.132411,185.109,180.3248,266.48
65,84,0.0481331,0.135991,0.646575,0.580508,0.0010581,1.144269,187.1591,197.996,276.77
65,85,0.0603418,0.311758,0.140317,0.38914,0.0006569,1.156126,192.8864,203.9307,296.39
65,86,0.0636435,0.286722,0.141192,0.426606,0.00065,1.166008,203.657,208.1992,304.62
65,87,0.0658801,0.28733,0.154452,0.403922,0.0018574,1.167984,209.0579,216.4589,313.71
67,81,0.0619138,0.185028,0.288693,0.529988,0.0017366,6.002427,151.4687,161.0306,198.34
67,82,0.0623111,0.20316,0.289915,0.644493,0.0019691,6.065534,157.4552,172.3077,203.92
67,83,0.0593568,0.205525,0.294805,0.5837,0.0019844,6.126214,146.1161,187.8502,217.07
67,84,0.0518556,0.220271,0.297982,0.548794,0.0019539,6.184466,163.1402,195.9824,230.79
67,85,0.0475793,0.222561,0.276769,0.519411,0.0020049,6.28398,171.7926,199.6477,239.01
67,86,0.0573538,0.201052,0.266018,0.503153,0.0020076,6.330097,183.2302,204.6902,256.05
67,87,0.0614177,0.217215,0.248276,0.488426,0.0021775,6.427185,189.1807,230.4981,275.72
69,81,0.0151278,0.43018,0.628272,0.475,0.0010903,0.6153846,199.5898,251.9837,379.82
69,82,0.0125657,0.466488,0.747126,0.353846,0.0010106,0.6234818,209.6384,27.23264,409.52
69,83,0.0140695,0.469194,1.06061,0.252381,0.0010335,0.6315789,217.1894,282.8698,447.02
69,84,0.012961,0.492386,0.438144,0.505882,0.0010856,0.6437247,234.0249,304.7247,493.86
69,85,0.0123078,0.386301,0.929078,0.381679,0.0011128,0.6639676,245.4301,311.38,484.34
69,86,0.0166801,0.304833,0.817073,0.335821,0.0010231,0.6923077,254.9027,324.5866,521.06
69,87,0.0173158,0.283505,0.739394,0.418033,0.0010711,0.7125506,266.7794,347.6609,560.78
71,81,0.0578315,0.200021,0.304737,0.42487,0.0017899,4.616247,191.1953,226.5881,251.27
71,82,0.067442,0.179522,0.245524,0.475,0.001957,4.661065,199.2343,234.8871,257.21
71,83,0.0609887,0.162985,0.355817,0.483478,0.0019868,4.680672,208.1663,247.3914,291.41
71,84,0.0585782,0.168659,0.284676,0.468085,0.0019089,4.739496,220.9194,255.7552,305.63
71,85,0.0571815,0.219947,0.274481,0.528998,0.0019111,4.817927,224.3537,264.2565,316.65
71,86,0.0555218,0.249463,0.209983,0.44877,0.0019489,4.809524,230.3717,270.3334,342.97
71,87,0.0544061,0.243119,0.22959,0.379175,0.0020703,4.834734,240.3673,295.2301,358.95
77,81,0.0321369,0.214431,0.57346,0.421488,0.0022208,0.6460674,168.3082,162.422,236.03
77,82,0.0380832,0.213855,0.566901,0.459627,0.0021508,0.6591761,181.1702,161.0018,255.7
77,83,0.0347969,0.233279,0.727273,0.346154,0.002299,0.670412,180.2025,174.0595,273.47
77,84,0.0352097,0.278521,0.466102,0.454545,0.0023824,0.6797753,196.4373,174.5951,286.36
77,85,0.0398521,0.206371,0.681208,0.512315,0.0024011,0.6872659,210.0034,165.5396,302.58
77,86,0.0432589,0.179697,0.414035,0.584746,0.0024002,0.7059925,194.4685,186.4479,312.27
77,87,0.0441957,0.190876,0.528302,0.488095,0.0024671,0.7172285,197.6995,199.4458,360.21
79,81,0.018777,0.332237,0.60396,0.42623,0.0012353,0.6052632,126.8697,145.8886,158.23
79,82,0.0166299,0.298755,1,0.513889,0.0013801,0.6052632,129.9376,160.2564,173.32
79,83,0.0137267,0.228856,0.804348,0.486486,0.001161,0.6203008,130.5793,194.3904,178.5
79,84,0.0115195,0.357143,1.13333,0.338235,0.0013028,0.6203008,138.2212,196.1032,187.83
79,85,0.0118946,0.316327,0.919355,0.508772,0.001153,0.6203008,151.4234,204.3269,189.16
79,86,0.0112693,0.241935,1,0.488889,0.00103,0.6203008,177.2776,226.2443,200.27
79,87,0.0156759,0.411538,0.308411,0.454545,0.001025,0.6203008,171.0329,250,218.3
81,81,0.063468,0.25921,0.236498,0.526442,0.002173,4.904762,240.0835,245.0806,306.91
81,82,0.0597609,0.280019,0.24277,0.496206,0.0020898,4.932412,251.1178,259.4947,328.01
81,83,0.0524466,0.28878,0.268882,0.456929,0.002239,4.960062,259.2342,269.215,348.35
81,84,0.048507,0.281099,0.261102,0.444444,0.0022974,4.993855,277.876,285.6754,369.23
81,85,0.0527319,0.30938,0.231522,0.501219,0.0022705,5.023041,286.5485,288.9627,388.63
81,86,0.0570522,0.282828,0.229781,0.419408,0.0022685,5.064516,295.0993,275.9671,406.32
81,87,0.0604498,0.300215,0.203725,0.43102,0.0024356,5.124424,308.5762,305.1543,448.86
83,81,0.0314616,0.406452,0.443001,0.42671,0.0015685,0.7638121,161.5263,160.014,256.24
83,82,0.0315983,0.408199,0.448373,0.504732,0.0015142,0.7665746,167.8121,170.5955,274.12
83,83,0.0265988,0.455234,0.458396,0.478548,0.0015204,0.769337,172.905,181.2737,299.61
83,84,0.0268714,0.349899,0.596929,0.511254,0.001552,0.7720994,179.623,196.4713,299.92
83,85,0.0289042,0.398487,0.568038,0.417827,0.0016038,0.7734807,183.9465,175.1182,316.41
83,86,0.0265029,0.455168,0.62406,0.373494,0.0014149,0.7734807,190.4762,218.2633,357.86
83,87,0.0315752,0.456394,0.45721,0.410256,0.0013853,0.781768,200.3768,239.2233,360.27
85,81,0.0383181,0.229671,0.323917,0.44186,0.0013922,1.006656,166.0666,181.7673,213.28
85,82,0.0448326,0.207602,0.369718,0.509524,0.0013437,1.016639,170.0094,189.6424,210.47
85,83,0.0411592,0.213554,0.559041,0.491749,0.0014433,1.024958,176.2976,197.5508,253.15
85,84,0.0354902,0.232747,0.505814,0.417625,0.0013927,1.031614,174.3635,211.7389,248.49
85,85,0.0372284,0.203632,0.4862,0.393013,0.0014164,1.049917,185.1409,225.5934,282.62
85,86,0.04192,0.189701,0.461078,0.506494,0.0014127,1.064892,190.1944,241.1382,288.83
85,87,0.0490712,0.146132,0.54902,0.428571,0.0014373,1.081531,198.6254,264.6729,310.86
87,81,0.0249672,0.271804,0.35514,0.385965,0.0014799,0.845045,158.344,175.5958,384.4
87,82,0.0294296,0.253551,0.218487,0.294872,0.0014422,0.8486487,161.9902,196.3065,418.08
87,83,0.0292305,0.264685,0.36631,0.335766,0.0014274,0.8468469,169.6209,191.9587,460.51
87,84,0.0299963,0.264177,0.340314,0.376923,0.0014936,0.8576577,175.537,208.2673,509.17
87,85,0.0302089,0.284615,0.36855,0.4,0.0014999,0.863063,184.3148,212.9792,526.8
87,86,0.0235257,0.267081,0.574751,0.254335,0.0016909,0.8738739,264.0143,220.4684,556.95
87,87,0.0286781,0.215108,0.548495,0.341463,0.0016918,0.8648649,196.5065,243.4706,588.99
89,81,0.0268278,0.341525,0.391144,0.40566,0.0009298,1.614973,172.315,194.5667,296.56
89,82,0.0290652,0.26797,0.379828,0.372881,0.0010697,1.657754,178.3538,210.2823,324.89
89,83,0.0266806,0.270304,0.348624,0.447368,0.0010752,1.68984,191.7347,213.2268,349.37
89,84,0.0222881,0.340877,0.43361,0.363636,0.0012452,1.735294,202.8662,224.1036,365.93
89,85,0.0268714,0.287106,0.483034,0.392562,0.0012165,1.770054,205.4814,219.0061,395.1
